zona;data_mostra;parametre;valor;unitat
ZONA PEIRÓ;20/04/2026;Microbiologia;Correcte;
ZONA PEIRÓ;20/04/2026;Organolèptic;Correcte;
ZONA PEIRÓ;20/04/2026;pH;7.8;unitats pH
ZONA PEIRÓ;20/04/2026;Conductivitat;457;µS/cm
ZONA PEIRÓ;20/04/2026;Terbolesa;0.20;UNF
ZONA PEIRÓ;20/04/2026;Clor lliure;0.55;mg/L
ZONA PEIRÓ;29/01/2026;Duresa;160.3;mg/L CaCO3
ZONA PEIRÓ;29/01/2026;Clorurs;23.3;mg/L
ZONA PEIRÓ;29/01/2026;Nitrats;0.5;mg/L

ZONA CREUS;20/04/2026;Microbiologia;Correcte;
ZONA CREUS;20/04/2026;Organolèptic;Correcte;
ZONA CREUS;20/04/2026;pH;7.9;unitats pH
ZONA CREUS;20/04/2026;Conductivitat;624;µS/cm
ZONA CREUS;20/04/2026;Terbolesa;0.20;UNF
ZONA CREUS;20/04/2026;Clor lliure;0.53;mg/L
ZONA CREUS;29/01/2026;Duresa;234.4;mg/L CaCO3
ZONA CREUS;29/01/2026;Clorurs;36.1;mg/L
ZONA CREUS;29/01/2026;Nitrats;36.8;mg/L

ZONA ERMITA;18/03/2026;Microbiologia;Correcte;
ZONA ERMITA;18/03/2026;Organolèptic;Correcte;
ZONA ERMITA;18/03/2026;pH;7.5;unitats pH
ZONA ERMITA;18/03/2026;Conductivitat;671;µS/cm
ZONA ERMITA;18/03/2026;Terbolesa;1.22;UNF
ZONA ERMITA;18/03/2026;Clor lliure;0.21;mg/L
ZONA ERMITA;25/06/2025;Duresa;248.7;mg/L CaCO3
ZONA ERMITA;09/03/2026;Clorurs;38.81;mg/L
ZONA ERMITA;09/03/2026;Nitrats;0.50;mg/L

ZONA CLUB MONT-ROIG;28/04/2026;Microbiologia;Correcte;
ZONA CLUB MONT-ROIG;23/04/2026;Organolèptic;Correcte;
ZONA CLUB MONT-ROIG;23/04/2026;pH;7.8;unitats pH
ZONA CLUB MONT-ROIG;23/04/2026;Conductivitat;517;µS/cm
ZONA CLUB MONT-ROIG;23/04/2026;Terbolesa;0.20;UNF
ZONA CLUB MONT-ROIG;23/04/2026;Clor lliure;0.21;mg/L
ZONA CLUB MONT-ROIG;30/01/2026;Duresa;220.9;mg/L CaCO3
ZONA CLUB MONT-ROIG;30/01/2026;Clorurs;34.6;mg/L
ZONA CLUB MONT-ROIG;30/01/2026;Nitrats;37.7;mg/L

ZONA BADIA-MAINOU-JARDINS-BALNEARI;23/04/2026;Microbiologia;Correcte;
ZONA BADIA-MAINOU-JARDINS-BALNEARI;23/04/2026;Organolèptic;Correcte;
ZONA BADIA-MAINOU-JARDINS-BALNEARI;23/04/2026;pH;8.0;unitats pH
ZONA BADIA-MAINOU-JARDINS-BALNEARI;23/04/2026;Conductivitat;507;µS/cm
ZONA BADIA-MAINOU-JARDINS-BALNEARI;23/04/2026;Terbolesa;0.20;UNF
ZONA BADIA-MAINOU-JARDINS-BALNEARI;23/04/2026;Clor lliure;0.31;mg/L
ZONA BADIA-MAINOU-JARDINS-BALNEARI;23/02/2026;Duresa;210.4;mg/L CaCO3
ZONA BADIA-MAINOU-JARDINS-BALNEARI;23/02/2026;Clorurs;37.8;mg/L
ZONA BADIA-MAINOU-JARDINS-BALNEARI;23/02/2026;Nitrats;36.6;mg/L

ZONA SANT MIQUEL-RUSTICAL;25/03/2026;Microbiologia;Correcte;
ZONA SANT MIQUEL-RUSTICAL;25/03/2026;Organolèptic;Correcte;
ZONA SANT MIQUEL-RUSTICAL;25/03/2026;pH;7.6;unitats pH
